,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Other Properties,1000000.0,,,,-1000000.0,,
Machinery Furniture Equipment,20611000000.0,,,,19662000000.0,,
Buildings And Improvements,9036000000.0,,,,9046000000.0,,
Land And Improvements,291000000.0,,,,353000000.0,,
Properties,0.0,,,,0.0,,
Current Assets,50358000000.0,43223000000.0,37825000000.0,42415000000.0,43333000000.0,,
Other Current Assets,4253000000.0,3856000000.0,4190000000.0,4372000000.0,4910000000.0,,
Inventory,10851000000.0,11721000000.0,11447000000.0,10892000000.0,10189000000.0,,
Other Inventories,-1000000.0,,-1000000.0,,-1000000.0,,-1000000.0
Finished Goods,3775000000.0,3280000000.0,3220000000.0,3491000000.0,3495000000.0,,
Work In Process,6101000000.0,7267000000.0,7072000000.0,6273000000.0,5688000000.0,,
Raw Materials,976000000.0,1174000000.0,1156000000.0,1128000000.0,1007000000.0,,
Receivables,14777000000.0,17694000000.0,15087000000.0,15222000000.0,15544000000.0,,
Taxes Receivable,3314000000.0,3243000000.0,3694000000.0,4233000000.0,3978000000.0,,
Accounts Receivable,11463000000.0,14451000000.0,11393000000.0,10989000000.0,11566000000.0,,
Allowance For Doubtful Accounts Receivable,-438000000.0,-465000000.0,-468000000.0,-479000000.0,-470000000.0,,
Gross Accounts Receivable,11901000000.0,14916000000.0,11861000000.0,11468000000.0,12036000000.0,,
Cash Cash Equivalents And Short Term Investments,20477000000.0,9952000000.0,7101000000.0,11929000000.0,12690000000.0,,
Other Short Term Investments,19434000000.0,8860000000.0,6049000000.0,11210000000.0,9837000000.0,,
Cash And Cash Equivalents,1043000000.0,1092000000.0,1052000000.0,719000000.0,2853000000.0,,
