,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Other Current Assets,4253000000.0,4910000000.0,5017000000.0,3820000000.0,
Assets Held For Sale Current,,,,,167000000.0
Inventory,10851000000.0,10189000000.0,8981000000.0,9059000000.0,
Other Inventories,-1000000.0,-1000000.0,,,1000000.0
Finished Goods,3775000000.0,3495000000.0,2603000000.0,3641000000.0,
Work In Process,6101000000.0,5688000000.0,5519000000.0,4424000000.0,
Raw Materials,976000000.0,1007000000.0,859000000.0,994000000.0,
Receivables,14777000000.0,15544000000.0,14529000000.0,15745000000.0,
Taxes Receivable,3314000000.0,3978000000.0,3577000000.0,4266000000.0,
Accounts Receivable,11463000000.0,11566000000.0,10952000000.0,11479000000.0,
Allowance For Doubtful Accounts Receivable,-438000000.0,-470000000.0,-449000000.0,-492000000.0,
Gross Accounts Receivable,11901000000.0,12036000000.0,11401000000.0,11971000000.0,
Cash Cash Equivalents And Short Term Investments,20477000000.0,12690000000.0,22732000000.0,31069000000.0,
Other Short Term Investments,19434000000.0,9837000000.0,22316000000.0,29125000000.0,
Cash And Cash Equivalents,1043000000.0,2853000000.0,416000000.0,1944000000.0,
